;X;CODE;codeplas;plasnaam;SBZ;meetnet;HabtypeSel;HabtypeVel;INSIDE_X;INSIDE_Y;LabSampleID;FieldSampleID;FieldObserver;FieldSampleRemark;FieldSamplingDate;Component;LIMSAnalysisName;Unit;AquaComponent;AquaUnit;ResultNumeric;ResultFormatted;ResultFormattedNumeric;IsBelowLOQ;IsAboveLOQ;IsCalc;ResultCalc;label
23;18905;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;Faeofytine;CHLA_SPECTRO;µg/l;faeo;µg/l;1,739;<5;5;TRUE;FALSE;FALSE;2,5;faeo (µg/l)
24;18906;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;ZS.105;ZS_FILT_105;g/L;ZS_105;g/L;0,0058;<0.025;0,025;TRUE;FALSE;FALSE;0,0125;ZS_105 (g/L)
25;18907;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;ZS.550;ZS_FILT_550;g/L;ZS_550;g/L;0,0058;<0.025;0,025;TRUE;FALSE;FALSE;0,0125;ZS_550 (g/L)
26;18908;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;T.KATION;QC_IONENBALANS;meq/L;T_kation;meq/L;8,897309193;88.973;8,8973;FALSE;FALSE;FALSE;8,8973;T_kation (meq/L)
27;18909;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;T.ANION;QC_IONENBALANS;meq/L;T_anion;meq/L;8,844498213;88.445;8,8445;FALSE;FALSE;FALSE;8,8445;T_anion (meq/L)
28;18910;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;VERSCHIL.IC.ABS;QC_IONENBALANS;meq/L;verschil_IC_abs;meq/L;0,052809193;0.053;0,053;FALSE;FALSE;FALSE;0,053;verschil_IC_abs (meq/L)
29;18911;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;VERSCHIL.IC.PROC;QC_IONENBALANS;%;verschil_IC_proc;%;0,297653961;0.3;0,3;FALSE;FALSE;FALSE;0,3;verschil_IC_proc (%)
30;18912;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;EC.MEAS;QC_GELEIDBAARHEID;µS/cm;EGV_labo;µS/cm;919,9;919.90;919,9;FALSE;FALSE;FALSE;919,9;EGV_labo (µS/cm)
31;18913;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;EC.CALC;QC_GELEIDBAARHEID;µS/cm;EGV_calc;µS/cm;857,2780114;857.28;857,28;FALSE;FALSE;FALSE;857,28;EGV_calc (µS/cm)
32;18914;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;VERSCHIL.EC.ABS;QC_GELEIDBAARHEID;µS/cm;verschil_EGV_abs;µS/cm;62,62;62.62;62,62;FALSE;FALSE;FALSE;62,62;verschil_EGV_abs (µS/cm)
33;18915;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001175;WVLDIK0133_R;Wannes Dermaut;EMPTY;22/01/2024;VERSCHIL.EC.PROC;QC_GELEIDBAARHEID;%;verschil_EGV_proc;%;6,807261659;6.81;6,81;FALSE;FALSE;FALSE;6,81;verschil_EGV_proc (%)
34;18916;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;pH.25;PHH2O_TIT_W;-;pH_labo;-;8,04;8.04;8,04;FALSE;FALSE;FALSE;8,04;pH_labo (-)
35;18917;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;EC.25;EC_TIT_W;µS/cm;EGV_tit;µS/cm;919,2;919.20;919,2;FALSE;FALSE;FALSE;919,2;EGV_tit (µS/cm)
36;18918;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;HCO3;ALK_OEP_W;mg/L;HCO3_OEP;mg/L;213,7643333;213.76;213,76;FALSE;FALSE;FALSE;213,76;HCO3_OEP (mg/L)
37;18919;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;CO3;ALK_OEP_W;mg/L;CO3;mg/L;0;<1.20;1,2;TRUE;FALSE;FALSE;0,6;CO3 (mg/L)
38;18920;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;OH;ALK_OEP_W;mg/L;OH;mg/L;0;<0.36;0,36;TRUE;FALSE;FALSE;0,18;OH (mg/L)
39;18921;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Cl;IC_ANIONEN;mg/L;Cl;mg/L;150,6753;150.68;150,68;FALSE;FALSE;FALSE;150,68;Cl (mg/L)
40;18922;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;NO2;IC_ANIONEN;mg/L;NO2;mg/L;0,0519;0.05;0,05;FALSE;FALSE;FALSE;0,05;NO2 (mg/L)
41;18923;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;NO3;IC_ANIONEN;mg/L;NO3;mg/L;2,8986;2.90;2,9;FALSE;FALSE;FALSE;2,9;NO3 (mg/L)
42;18924;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;SO4;IC_ANIONEN;mg/L;SO4;mg/L;48,2566;48.26;48,26;FALSE;FALSE;FALSE;48,26;SO4 (mg/L)
43;18925;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;PO4;IC_ANIONEN;mg/L;PO4;mg/L;1,1305;1.13;1,13;FALSE;FALSE;FALSE;1,13;PO4 (mg/L)
44;18926;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Na;IC_KATIONEN;mg/L;Na;mg/L;99,7388;99.74;99,74;FALSE;FALSE;FALSE;99,74;Na (mg/L)
45;18927;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;NH4;IC_KATIONEN;mg/L;NH4;mg/L;1,4172;1.42;1,42;FALSE;FALSE;FALSE;1,42;NH4 (mg/L)
46;18928;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;K;IC_KATIONEN;mg/L;K;mg/L;17,7928;17.79;17,79;FALSE;FALSE;FALSE;17,79;K (mg/L)
47;18929;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Mg;IC_KATIONEN;mg/L;Mg;mg/L;22,1159;22.12;22,12;FALSE;FALSE;FALSE;22,12;Mg (mg/L)
48;18930;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Ca;IC_KATIONEN;mg/L;Ca;mg/L;45,2289;45.23;45,23;FALSE;FALSE;FALSE;45,23;Ca (mg/L)
49;18931;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Al;ICP_MINMET_HNO3_1;mg/L;Al;mg/L;-0,006;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Al (mg/L)
50;18932;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Fe;ICP_MINMET_HNO3_1;mg/L;Fe;mg/L;0,0043;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Fe (mg/L)
51;18933;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Mn;ICP_MINMET_HNO3_1;mg/L;Mn;mg/L;0,0441;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Mn (mg/L)
52;18934;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;S;ICP_MINMET_HNO3_1;mg/L;S;mg/L;15,8253;15.83;15,83;FALSE;FALSE;FALSE;15,83;S (mg/L)
53;18935;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Si;ICP_MINMET_HNO3_1;mg/L;Si;mg/L;4,294;4.29;4,29;FALSE;FALSE;FALSE;4,29;Si (mg/L)
54;18936;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;T.P;P_TOT_L_ICP_W;mg/L;TP;mg/L;0,4311;0.4311;0,4311;FALSE;FALSE;FALSE;0,4311;TP (mg/L)
55;18937;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;CHL.A;CHLA_SPECTRO;µg/l;chl_a;µg/l;5,846;5.8;5,8;FALSE;FALSE;FALSE;5,8;chl_a (µg/l)
56;18938;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;Faeofytine;CHLA_SPECTRO;µg/l;faeo;µg/l;2,0794;<5;5;TRUE;FALSE;FALSE;2,5;faeo (µg/l)
57;18939;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;24-001176;WVLDIK0133_ZP;Wannes Dermaut;EMPTY;22/01/2024;ZS.105;ZS_FILT_105;g/L;ZS_105;g/L;0,0058;<0.025;0,025;TRUE;FALSE;FALSE;0,0125;ZS_105 (g/L)
58;22570;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;HCO3;ALK_OEP_W;mg/L;HCO3_OEP;mg/L;204,3296667;204.33;204,33;FALSE;FALSE;FALSE;204,33;HCO3_OEP (mg/L)
59;22571;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;CO3;ALK_OEP_W;mg/L;CO3;mg/L;0;<1.20;1,2;TRUE;FALSE;FALSE;0,6;CO3 (mg/L)
60;22572;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;OH;ALK_OEP_W;mg/L;OH;mg/L;0;<0.36;0,36;TRUE;FALSE;FALSE;0,18;OH (mg/L)
61;22573;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Cl;IC_ANIONEN;mg/L;Cl;mg/L;153,4094;153.41;153,41;FALSE;FALSE;FALSE;153,41;Cl (mg/L)
62;22574;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;NO2;IC_ANIONEN;mg/L;NO2;mg/L;0,0604;0.06;0,06;FALSE;FALSE;FALSE;0,06;NO2 (mg/L)
63;22575;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;NO3;IC_ANIONEN;mg/L;NO3;mg/L;0,8593;0.86;0,86;FALSE;FALSE;FALSE;0,86;NO3 (mg/L)
64;22576;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;SO4;IC_ANIONEN;mg/L;SO4;mg/L;46,9919;46.99;46,99;FALSE;FALSE;FALSE;46,99;SO4 (mg/L)
65;22577;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;PO4;IC_ANIONEN;mg/L;PO4;mg/L;0,6755;0.68;0,68;FALSE;FALSE;FALSE;0,68;PO4 (mg/L)
66;22578;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Na;IC_KATIONEN;mg/L;Na;mg/L;102,8084;102.81;102,81;FALSE;FALSE;FALSE;102,81;Na (mg/L)
67;22579;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;NH4;IC_KATIONEN;mg/L;NH4;mg/L;0,8319;0.83;0,83;FALSE;FALSE;FALSE;0,83;NH4 (mg/L)
68;22580;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;K;IC_KATIONEN;mg/L;K;mg/L;18,2421;18.24;18,24;FALSE;FALSE;FALSE;18,24;K (mg/L)
69;22581;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Mg;IC_KATIONEN;mg/L;Mg;mg/L;21,9999;22.00;22;FALSE;FALSE;FALSE;22;Mg (mg/L)
70;22582;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Ca;IC_KATIONEN;mg/L;Ca;mg/L;39,1236;39.12;39,12;FALSE;FALSE;FALSE;39,12;Ca (mg/L)
71;22583;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Al;ICP_MINMET_HNO3_1;mg/L;Al;mg/L;-0,001;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Al (mg/L)
72;22584;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Fe;ICP_MINMET_HNO3_1;mg/L;Fe;mg/L;0,014;<0.1;0,1;TRUE;FALSE;FALSE;0,05;Fe (mg/L)
73;22585;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Mn;ICP_MINMET_HNO3_1;mg/L;Mn;mg/L;0,116;0.12;0,12;FALSE;FALSE;FALSE;0,12;Mn (mg/L)
74;22586;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;S;ICP_MINMET_HNO3_1;mg/L;S;mg/L;15,612;15.61;15,61;FALSE;FALSE;FALSE;15,61;S (mg/L)
75;22587;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Si;ICP_MINMET_HNO3_1;mg/L;Si;mg/L;3,34;3.34;3,34;FALSE;FALSE;FALSE;3,34;Si (mg/L)
76;22588;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;T.P;P_TOT_L_ICP_W;mg/L;TP;mg/L;0,5085;0.5085;0,5085;FALSE;FALSE;FALSE;0,5085;TP (mg/L)
77;22589;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;CHL.A;CHLA_SPECTRO;µg/l;chl_a;µg/l;1,702;<5;5;TRUE;FALSE;FALSE;2,5;chl_a (µg/l)
78;22590;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;Faeofytine;CHLA_SPECTRO;µg/l;faeo;µg/l;1,8722;<5;5;TRUE;FALSE;FALSE;2,5;faeo (µg/l)
79;22591;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;ZS.105;ZS_FILT_105;g/L;ZS_105;g/L;0,0052;<0.025;0,025;TRUE;FALSE;FALSE;0,0125;ZS_105 (g/L)
80;22592;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;ZS.550;ZS_FILT_550;g/L;ZS_550;g/L;0,0052;<0.025;0,025;TRUE;FALSE;FALSE;0,0125;ZS_550 (g/L)
81;22593;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;T.KATION;QC_IONENBALANS;meq/L;T_kation;meq/L;8,752772213;87.528;8,7528;FALSE;FALSE;FALSE;8,7528;T_kation (meq/L)
82;22594;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;T.ANION;QC_IONENBALANS;meq/L;T_anion;meq/L;8,689734477;86.897;8,6897;FALSE;FALSE;FALSE;8,6897;T_anion (meq/L)
83;22595;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;VERSCHIL.IC.ABS;QC_IONENBALANS;meq/L;verschil_IC_abs;meq/L;0,063072213;0.063;0,063;FALSE;FALSE;FALSE;0,063;verschil_IC_abs (meq/L)
84;22596;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;VERSCHIL.IC.PROC;QC_IONENBALANS;%;verschil_IC_proc;%;0,361600621;0.4;0,4;FALSE;FALSE;FALSE;0,4;verschil_IC_proc (%)
85;22597;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;EC.MEAS;QC_GELEIDBAARHEID;µS/cm;EGV_labo;µS/cm;908,8;908.80;908,8;FALSE;FALSE;FALSE;908,8;EGV_labo (µS/cm)
86;22598;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;EC.CALC;QC_GELEIDBAARHEID;µS/cm;EGV_calc;µS/cm;849,6253478;849.63;849,63;FALSE;FALSE;FALSE;849,63;EGV_calc (µS/cm)
87;22599;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;VERSCHIL.EC.ABS;QC_GELEIDBAARHEID;µS/cm;verschil_EGV_abs;µS/cm;59,17;59.17;59,17;FALSE;FALSE;FALSE;59,17;verschil_EGV_abs (µS/cm)
88;22600;WVLDIK0133;WVLDIK0133;NA;0;-;-;-;NA;NA;23-008696;WVLDIK0133_ZP;Jo Packet;EMPTY;4/12/2023;VERSCHIL.EC.PROC;QC_GELEIDBAARHEID;%;verschil_EGV_proc;%;6,510783451;6.51;6,51;FALSE;FALSE;FALSE;6,51;verschil_EGV_proc (%)
